Employee_ID,Full_Name,Age,Date_of_Birth,Gender,Email,Phone,Department,Job_Role,Join_Date,Salary,Employment_Status,Manager_ID,PAN_Number,Contract_Expiry
EMP0001,Employee_1,39,1985-11-24,Male,emp1@company.com,9823756669,Operations,Operations Analyst,2015-04-13,57098.0,Inactive,,ABCDE1520F,2022-03-03
EMP0002,Employee_2,54,,Female,,,,Senior Engineer,2017-08-10,,Active,,ABCDE5557F,
EMP0003,Employee_3,32,1992-03-07,Female,emp3@company.com,9847295260,Legal,Legal Analyst,2023-07-06,116506.0,On Leave,,ABCDE7224F,
EMP0004,Employee_4,38,1986-09-04,Female,,9871662963,,Tech Lead,2018-11-09,-130791.0,On Leave,,,
EMP0005,Employee_5,34,1990-04-25,Male,not_an_email,9898753260,Finance,Finance Manager,2021-06-22,-117349.0,Active,,ABCDE2654F,
EMP0006,Employee_6,45,1979-11-09,Other,emp6@company.com,9838119557,Marketing,SEO Analyst,2020-02-01,46319.0,Active,,ABCDE3803F,
EMP0007,Employee_7,51,1973-12-18,Female,emp7@company.com,9895899313,Sales,Account Manager,2016-10-31,74735.0,Active,,ABCDE1916F,
EMP0008,Employee_8,47,1977-12-11,Female,not_an_email,9886125617,HR,HR Executive,2018-07-16,-60093.0,Active,,ABCDE8517F,
EMP0009,Employee_9,37,1987-12-19,Other,emp9@company.com,9845264581,HR,Recruiter,2016-07-25,122647.0,Active,,ABCDE4593F,
EMP0010,Employee_10,25,1999-03-26,Other,emp10@company.com,9894214382,HR,HR Analyst,2016-01-08,137866.0,Active,,,
EMP0011,Employee_11,38,1986-11-24,Other,emp11@company.com,9811540956,Marketing,Brand Manager,2020-12-07,97512.0,Active,,ABCDE6573F,
EMP0012,Employee_12,11,,Other,,,,Tech Lead,2019-11-16,,Active,,ABCDE9317F,
EMP0013,Employee_13,45,1979-01-20,Male,emp13@company.com,9881182864,Sales,Account Manager,2016-09-18,124943.0,Active,,ABCDE6947F,
EMP0014,Employee_14,25,1999-02-24,Male,emp14@company.com,9820570592,Legal,Legal Manager,2017-09-07,56571.0,Active,,ABCDE9727F,
EMP0015,Employee_15,52,1972-09-28,Male,emp15@company.com,9845575298,Legal,Compliance Officer,2016-06-09,149105.0,Active,,ABCDE4295F,
EMP0016,Employee_16,45,1979-02-08,Female,emp16@company.com,9870597444,Operations,Ops Executive,2019-06-23,82422.0,Active,,,
EMP0017,Employee_17,36,1988-01-08,Male,not_an_email,9894705205,Sales,Account Manager,2021-08-07,25942.0,Active,,ABCDE2160F,
EMP0018,Employee_18,53,1971-10-16,Female,emp18@company.com,9886644106,Sales,Account Manager,2018-02-14,53080.0,Active,,ABCDE4119F,
EMP0019,Employee_19,49,1975-12-02,Other,emp19@company.com,9872682989,Engineering,Software Engineer,2022-05-23,71438.0,Active,,,
EMP0020,Employee_20,28,1996-08-05,Female,emp20@company.com,9881979055,Marketing,SEO Analyst,2023-12-24,57591.0,Active,,ABCDE2235F,
EMP0021,Employee_21,17,,Male,,,,Marketing Executive,2015-07-27,,Active,,ABCDE1960F,
EMP0022,Employee_22,46,1978-05-14,Other,emp22@company.com,9871070189,HR,HR Analyst,2015-01-09,59760.0,Active,,ABCDE8973F,
EMP0023,Employee_23,35,1989-01-24,Male,emp23@company.com,9882772208,HR,HR Manager,2018-04-30,32665.0,Active,,ABCDE9238F,
EMP0024,Employee_24,54,1970-10-03,Male,emp24@company.com,9819196777,Legal,Compliance Officer,2015-08-21,35500.0,Active,,ABCDE5033F,
EMP0025,Employee_25,27,1997-09-11,Male,emp25@company.com,9885863473,Sales,Sales Executive,2021-12-11,79948.0,On Leave,,ABCDE6147F,
EMP0026,Employee_26,30,1994-06-25,Male,emp26@company.com,9871367643,HR,Recruiter,2019-06-10,113039.0,On Leave,,ABCDE2638F,
EMP0027,Employee_27,38,1986-04-12,Female,emp27@company.com,9819233013,Engineering,Senior Engineer,2020-09-03,42361.0,Active,,ABCDE5956F,
EMP0028,Employee_28,57,1967-03-09,Male,emp28@company.com,9823903144,Sales,Sales Executive,2022-06-28,64240.0,Active,,ABCDE3546F,
